Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
2007,Wheelchair Men,David Weir,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:30:51,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2008,Wheelchair Men,David Weir,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:33:56,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2009,Wheelchair Men,Kurt Fearnley,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,AUS,01:28:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/AU-128.png,Australia
2010,Wheelchair Men,Josh Cassidy,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,CAN,01:35:21,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CA-128.png,Canada
2011,Wheelchair Men,David Weir,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:30:05,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2012,Wheelchair Men,David Weir,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:32:26,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2013,Wheelchair Men,Kurt Fearnley,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,AUS,01:31:29,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/AU-128.png,Australia
2014,Wheelchair Men,Marcel Hug,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:32:41,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
2015,Wheelchair Men,Josh George,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:31:31,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2016,Wheelchair Men,Marcel Hug,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:35:19,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
2017,Wheelchair Men,David Weir,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:31:06,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2018,Wheelchair Men,David Weir,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,01:31:15,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2019,Wheelchair Men,Daniel Romanchuk,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,01:33:37,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2020,Wheelchair Men,Brent Lakatos,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,CAN,01:36:04,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CA-128.png,Canada
2021,Wheelchair Men,Marcel Hug,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,CHE,01:26:27,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CH-128.png,Switzerland
1983,Wheelchair Women,Denise Smith,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,04:29:03,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1984,Wheelchair Women,Kay McShane,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,IRL,03:10:04,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IE-128.png,Ireland
1985,Wheelchair Women,Kay McShane,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,IRL,02:47:12,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IE-128.png,Ireland
1986,Wheelchair Women,Kay McShane,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,IRL,03:02:40,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IE-128.png,Ireland
1987,Wheelchair Women,Karen Davidson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:45:30,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1988,Wheelchair Women,Karen Davidson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:41:45,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1989,Wheelchair Women,Josie Cichockyj,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,03:03:54,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1990,Wheelchair Women,Connie Hansen,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,DNK,02:10:25,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DK-128.png,Denmark
1991,Wheelchair Women,Connie Hansen,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,DNK,02:04:40,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DK-128.png,Denmark
1992,Wheelchair Women,Tanni Grey-Thompson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:17:23,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1993,Wheelchair Women,Rose Hill,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:03:05,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1994,Wheelchair Women,Tanni Grey-Thompson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:08:26,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1995,Wheelchair Women,Rose Hill,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:17:02,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1996,Wheelchair Women,Tanni Grey-Thompson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:00:10,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
