Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
2015,Men,Eliud Kipchoge,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:04:42,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2016,Men,Eliud Kipchoge,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:03:05,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2017,Men,Daniel Wanjiru,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:05:48,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2018,Men,Eliud Kipchoge,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:04:17,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2019,Men,Eliud Kipchoge,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:02:37,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2020,Men,Shura Kitata Tola,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:05:58,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2021,Men,Sisay Lemma,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:04:01,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2022,Men,Amos Kipruto,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:04:39,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
1981,Women,Joyce Smith,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:29:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1982,Women,Joyce Smith,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:29:43,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1983,Women,Grete Waitz,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:25:29,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
1984,Women,Ingrid Kristiansen,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:24:26,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
